"subjects" "activities" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
1 "WALKING" 0.276984355064935 -0.017847811915974 -0.108984356863636 0.926715758506493 -0.306853865779221 -0.00955112948051948 0.0693547485262987 0.0244321897318182 0.000453417532467531 -0.0461199004111688 -0.061372792598052 0.0841359985707792 -0.0868888555662338 -0.045201555125974 -0.0481855800519481 -0.19575525846039 -0.19575525846039 -0.195063389201299 -0.270386064746753 -0.394179575214286 -0.25767727662987 0.0469501636272727 -0.378394720844156 -0.18388980175 0.145847388985714 0.0570720200775325 -0.221910816118247 -0.051905881342474 -0.501930988376623 -0.156946667657338 -0.339242829077922 -0.21208647145974 -0.373773749064935 -0.276118176501948 -0.309852752402597 0.0119092758837662 -0.0569347000461039 0.054018443827987 -0.203586389985714 0.26824883187013 -0.100007401423766 0.137374427547143 -0.326237520283766 0.282804938993247 -0.420428731941558 0.166021817450195 -0.337339299090909 0.0406911886077922 -0.32333016025974 -0.975109187792208 -0.971616637922078 -0.957048275909091 -0.176414152766234 0.0349721144948052 -0.534648146948052 -0.507255430194805 -0.239977301445779 -0.396684262142857 -0.277198157545455 -0.430771391168831 -0.416222960779221 -0.297406021590909 -0.297406021590909 -0.108829379080779 -0.327215062922078 -0.414389314448052 -0.372202792207792 -0.0302607846469481 -0.346937324883117 -0.20282596325974 0.0599717029832467 -0.565816688051948 -0.550161443571429 -0.224889905064286 -0.483798396623377 -0.466638332727273 -0.126709120017532 -0.447743397142857 -0.449223054220779
2 "WALKING" 0.277100285677966 -0.0159885622748305 -0.112028184415254 0.950486211186441 -0.172427545372881 -0.00291872443220339 0.0798872933265254 0.00644739042542373 -0.00315401885847458 -0.0287715717234746 -0.0752585348177966 0.080951537590678 -0.105450870725424 -0.0390722026677966 -0.0527794449265254 -0.283856557457627 -0.283856557457627 -0.324089772881356 -0.48236791358983 -0.624695634152542 -0.372599827610169 -0.115928129283051 -0.523542581101695 -0.191687471251695 0.0906945612923729 -0.00326986261677966 -0.332248156677966 -0.211209336652542 -0.623385225 -0.174977105382119 -0.323352499084746 -0.336162337377119 -0.405068870677966 -0.626068871101695 -0.511306681016949 -0.0480608738923729 -0.158333372797458 0.0543188949008475 -0.37178053 0.250071650360169 -0.253793310542373 -0.000901033252033898 -0.589855678567797 0.124395782438729 -0.667027463644068 0.157419793159322 -0.401275325338983 -0.0744459321042373 -0.48851749220339 -0.980850355847458 -0.965206952118644 -0.957622125677966 -0.283101492347458 -0.134556792725424 -0.642319302542373 -0.535791813813559 -0.615454700508475 -0.571227842627119 -0.440033874576271 -0.724680502542373 -0.589438683305085 -0.42974258059322 -0.42974258059322 -0.229917677702542 -0.557242256779661 -0.65013841220339 -0.413831771949153 -0.112726739745847 -0.510049246016949 -0.296967534466102 -0.109488725899237 -0.659883334830508 -0.57826987279661 -0.612500078559322 -0.632622873050847 -0.555423698135593 -0.20710963985983 -0.612962229152542 -0.655196028220339
3 "WALKING" 0.278160362777778 -0.0176722224868704 -0.109224130759259 0.962630424907407 -0.0672151205407407 -0.054498602447037 0.0777744006898148 0.00175781264064815 0.00204015478953704 -0.0642724679087037 -0.0659062101222222 0.0960295123296296 -0.0850272970435185 -0.0404648814324074 -0.0555251867118519 -0.129327188389315 -0.129327188389315 -0.247599975509259 -0.326374542175926 -0.476176175555556 -0.291118578935185 -0.119161619417593 -0.374962838787037 -0.316770610257407 0.00920690246111111 0.0242787744462963 -0.330178426203704 -0.270924573847593 -0.498555140925926 -0.368481685092593 -0.464233795092593 -0.35494552425 -0.377968595092593 -0.47685556462963 -0.226173003416667 -0.120376342933333 -0.00201272562537037 0.013594855325 -0.311641042212963 0.155543857852778 -0.29229861324537 0.0740925522546296 -0.498483216666667 0.191299987827778 -0.574307817962963 0.144450019946296 -0.26725836275 -0.057317883387963 -0.264882500638519 -0.980130111018519 -0.966235116574074 -0.960220118425926 -0.256593095861111 -0.180542427409259 -0.515091603703704 -0.483792983611111 -0.4865338 -0.293173866296296 -0.439198098648148 -0.560730988796296 -0.30222277919537 -0.378262084351852 -0.378262084351852 -0.299032118796296 -0.490996706666667 -0.542483725648148 -0.259240839972222 -0.0857483592064815 -0.266747934668333 -0.248608625731389 -0.138231303739815 -0.5302361725 -0.518805841759259 -0.497053396296296 -0.382811590925926 -0.516870828055556 -0.313703083055556 -0.576728517314815 -0.536884785925926
4 "WALKING" 0.281208923090909 -0.0169565771897273 -0.109702987254545 0.960488444363636 -0.151640679581818 0.0436630036090909 0.0775885607963636 -0.00657426291727273 -0.0116803883636364 -0.00806822626236364 -0.0780636564557545 0.0910063411913636 -0.104666237064545 -0.0437904321727273 -0.0574127094809091 -0.147837900151818 -0.147837900151818 -0.165007227970991 -0.221101451390909 -0.378662093445455 -0.152402968063636 0.0986753234172727 -0.456921215090909 -0.228875023956364 0.128904110945455 0.220694578422727 -0.130223863743636 -0.0241668685097273 -0.504137164454545 -0.217724992624545 -0.313154994657364 -0.0270729708173636 -0.258086553458182 -0.343224084636364 -0.157780843013636 0.00229342668690909 -0.0372645575854545 0.0944041128745454 -0.14917540888 0.1902176689 -0.0188216062718182 -0.0391288194445455 -0.369641093109091 0.21408685119 -0.438081756772727 0.052184606297 -0.239766571027273 0.0741345790072727 -0.451960623909091 -0.976168340727273 -0.967556804818182 -0.957521918818182 -0.0939571280490909 0.0403667068109091 -0.544885905454545 -0.430691677181818 -0.292747774181818 -0.282625091963636 -0.270996641290909 -0.461340549181818 -0.244929319793636 -0.227643404832727 -0.227643404832727 -0.01846479165 -0.383151804054545 -0.430389591745455 -0.278321842572727 -0.00982938937427273 -0.494983426090909 -0.137987676198818 0.0396560684463636 -0.584479624090909 -0.487845319454545 -0.270521053036364 -0.397094983818182 -0.397008630545455 -0.0258130349233636 -0.505402033 -0.460884681995455
5 "WALKING" 0.276310580373832 -0.0172084607943925 -0.107290212224299 0.948597800560748 -0.157642071962617 -0.102546626763542 0.0694070763971963 0.0190605071437383 -0.00885960960747663 -0.0476191352797196 -0.060682276846729 0.0808690826786916 -0.0949554763815514 -0.0471485663471963 -0.0482453774898131 -0.0998630189457944 -0.0998630189457944 -0.170105920181308 -0.329310292392523 -0.401644740448598 -0.208146178556075 -0.0674956888803738 -0.176794590389065 -0.289287484074766 0.15514130645514 0.146206235717757 -0.24254944146729 -0.131688767390467 -0.286348223316636 -0.282960366158878 -0.257316105962617 -0.215474631916822 -0.357451565943925 -0.299592692279439 -0.343625611570093 0.0691538003439252 0.133608722464486 -0.00539150289813084 -0.152118580983178 0.210039878645794 -0.0344438212020561 0.00183204501214953 -0.309542484408131 0.228240787546729 -0.34498312013243 0.0368137133170093 -0.234558797895327 -0.0985335541906542 -0.106834766206542 -0.979506340841122 -0.967168182523364 -0.951279610093458 -0.190643228439252 -0.0709411909742991 -0.31901576841757 -0.523383588785047 -0.333109096271028 -0.37459145646729 -0.295377549805607 -0.364395420206542 -0.468741863084112 -0.216507119803738 -0.216507119803738 -0.0241590681383178 -0.298715491182243 -0.307279524748598 -0.246648156931776 -0.173999139523364 -0.140264257186075 -0.209120633757009 -0.0669602798901869 -0.349973400231776 -0.577413212336449 -0.36232617835514 -0.44410483271028 -0.378430854766355 -0.0183138489794393 -0.414412345065421 -0.308824150862617
6 "WALKING" 0.27533601247619 -0.0186103263770476 -0.109520889171429 0.912104001238095 -0.253232804285714 -0.156428001315971 0.0761043147717143 -0.00108692420190476 0.0029341865772381 0.00128990455066667 -0.0871361829605714 0.0658698109432381 -0.114592006541905 -0.0317578018714286 -0.0584574710895238 -0.050010726972381 -0.050010726972381 -0.102863187105524 -0.120124589177714 -0.319792123047619 -0.294965614 0.196757273144381 -0.243095204580952 -0.299773427580952 0.0121761172609524 0.133777533024762 -0.299940988824762 0.0125846238533333 -0.35108636612381 -0.261759501904762 -0.434391917685714 -0.224155742272476 -0.151350910509524 -0.2578209318 -0.210913895190476 -0.0929080707171429 -0.00679102533238095 -0.0316154841961905 -0.170882656759048 0.230925954104762 -0.139184830589524 0.144618028186667 -0.282909848057143 0.204942026154 -0.400012435295238 0.259004608002857 -0.267723407600952 0.251085141194286 -0.1846566775 -0.973553895142857 -0.959017175904762 -0.952295881238095 -0.23818026678 0.137663696503048 -0.378549708961905 -0.295214110428571 -0.254354397028571 -0.231747016033333 -0.230192949933333 -0.389895665685714 -0.363105777485714 -0.241282790998095 -0.241282790998095 -0.155917683166381 -0.246614532304762 -0.404787580085714 -0.259625339192381 0.198550281971429 -0.21894368518 -0.243365085720952 0.195798446222762 -0.405400395171429 -0.34361747412381 -0.260189804580952 -0.312540910485714 -0.402928393333333 -0.188034989507143 -0.355955374847619 -0.455321990390476
7 "WALKING" 0.272827879652174 -0.0172099109289565 -0.105181805252174 0.935461674434783 -0.232630114347826 0.0391042135826087 0.0799427912791304 0.0203191418286957 -0.00165356298260869 -0.04135234333 -0.066060805050087 0.0892914394208217 -0.094169064426087 -0.047502055193913 -0.0420568151537391 -0.288121193217391 -0.288121193217391 -0.391102066086957 -0.460110287130435 -0.633534259652174 -0.384331295043478 -0.16123281706313 -0.554738700608696 -0.368007518156522 0.0377372755 0.0231336701697478 -0.434532969652174 -0.300288527086957 -0.648063341565217 -0.351157750478261 -0.383773032365217 -0.147874848573913 -0.560975282434783 -0.582292460434783 -0.466398592782609 -0.0813861719634783 -0.289523341564957 -0.209159626306957 -0.441895537391304 0.112117828379504 -0.404330139043478 0.0868282458765217 -0.615145158086956 0.0471336821944348 -0.731794316608696 0.160380102785217 -0.400034708086957 -0.13732905584 -0.480821250347826 -0.982031037217391 -0.970657787478261 -0.966516555565217 -0.39907523 -0.24897935073913 -0.678129368173913 -0.648983447478261 -0.498070071043478 -0.471790238434783 -0.559398866608696 -0.717021528782609 -0.60570654826087 -0.474398443913043 -0.474398443913043 -0.413989398521739 -0.582782341913043 -0.74048481026087 -0.406611430782609 -0.179714147684348 -0.482563118869565 -0.41598466 -0.243263105341739 -0.707031586695652 -0.67756820626087 -0.457182651478261 -0.522831921043478 -0.575255954086957 -0.430597889913043 -0.633424669913043 -0.771545560086957
8 "WALKING" 0.272251568 -0.0215103032018182 -0.109901264645455 0.847942629272727 -0.304683764727273 -0.242898743218182 0.0776679521579091 0.00316986945181818 0.0136539918363636 -0.0127186185385455 -0.078858968984 0.0669995424854545 -0.0908788026975182 -0.0473837871872727 -0.04632153485 -0.0591850847770545 -0.0591850847770545 -0.222272987219091 -0.0417755683254545 -0.369212397027273 -0.294418273277273 0.0934114059181818 -0.221341150504545 -0.297843538027273 -0.0787666665330909 0.01685404699 -0.317671412209091 -0.128859980572727 -0.383488816909091 -0.256434230811818 -0.415213172045455 -0.244114782220909 -0.31620021417 -0.101418705418818 -0.164692155180909 -0.130351874029091 -0.224783463446545 -0.234902147890182 -0.20197903459 0.115571664692727 -0.206209284824909 0.128439586122727 -0.191128500774727 0.0744673529063636 -0.400634648549273 0.117605484466364 -0.3125562653 0.198320134443273 -0.0782207540897273 -0.972735334181818 -0.957955207 -0.950453396727273 -0.285802011769091 -0.0714198089181818 -0.433323345727273 -0.430026149436364 0.0318356671231818 -0.1444775368 -0.424076677245455 -0.347025300218182 -0.371939402578182 -0.267890745709091 -0.267890745709091 -0.226092391219091 -0.125079683353636 -0.394574245538182 -0.321272791109091 0.174166041546364 -0.0777047314099091 -0.316701476023636 -0.0711069958996364 -0.481969960181818 -0.467739549327273 0.0946123029991818 -0.219514195327273 -0.426168588909091 -0.257604099165091 -0.233377187081818 -0.431415873610909
9 "WALKING" 0.275495040714286 -0.0199103724963393 -0.109161995741071 0.95575874875 -0.1723957971875 -0.0364558514464286 0.0811893567330357 0.0105731647526786 -0.0057103385376875 -0.05498311274625 -0.0636253452975 0.0909558502814286 -0.0698298983839286 -0.0526829333846429 -0.0629492772633929 -0.245275363848214 -0.245275363848214 -0.361347063392857 -0.326233230535714 -0.525256502589286 -0.408054984375 -0.0515526585215179 -0.445959555714286 -0.352291629169643 -0.0210919458348571 0.0114066022234821 -0.452346616071429 -0.214988762017857 -0.556216577946429 -0.271938067523214 -0.387044775928571 -0.297703225255357 -0.364684644339286 -0.506639252678571 -0.425205705178571 -0.100465921867946 -0.138877452000893 -0.139739850065714 -0.357735124744196 0.117252698383839 -0.356499054910714 0.06117706384375 -0.51264746625 0.159901212707047 -0.607022628214286 0.1117399111825 -0.401912093839286 -0.0128401519122321 -0.39977752875 -0.980849399732143 -0.966666286160714 -0.960525940982143 -0.43155195 -0.171900025659732 -0.585245390535714 -0.459592653035714 -0.455199595267857 -0.439729424821429 -0.390967247589286 -0.604964817678571 -0.574216612589286 -0.40527805875 -0.40527805875 -0.361729299901786 -0.497296282714286 -0.595444303660714 -0.399952365357143 -0.055803267653125 -0.421865604196429 -0.461287198928571 -0.181691401856786 -0.613298817232143 -0.491904652946429 -0.4329597235 -0.497048802232143 -0.526661052053571 -0.373777528160714 -0.578217984910714 -0.609183182142857
10 "WALKING" 0.276023564509804 -0.0204286929452941 -0.108804049803922 0.925981326078431 -0.0668246472745098 -0.217351194313725 0.0770223771764706 0.00968444678235294 0.00360803282352941 -0.0151721912792157 -0.0695955689607843 0.0818650735686274 -0.110917348282353 -0.0433876843176471 -0.0532986670705882 -0.258766694117647 -0.258766694117647 -0.363144483529412 -0.485931932745098 -0.671541834117647 -0.394790433529412 -0.321500667843137 -0.244363048235294 -0.350681958176471 -0.0270392028607843 0.0309811083103922 -0.44140618254902 -0.454270822156863 -0.422332394117647 -0.330912145882353 -0.396511933696078 -0.453928997882353 -0.59574648627451 -0.619731930392157 -0.432885310980392 -0.184031594529412 -0.0870475841176471 -0.285078729888235 -0.410463241960784 0.175600477686275 -0.378278490588235 0.0921999142870588 -0.669228540784314 0.179727428509804 -0.72068229 0.1076755658 -0.404692523921569 -0.314569762352941 -0.159799790235294 -0.982469595490196 -0.973784841960784 -0.961387254313726 -0.396223738431373 -0.425563858627451 -0.44025821745098 -0.654171847058823 -0.612593634117647 -0.365489530588235 -0.675889722745098 -0.712237752941177 -0.571264779411765 -0.47180926745098 -0.47180926745098 -0.403386563921569 -0.665078404313725 -0.722808438431373 -0.409070488039216 -0.354370678627451 -0.180501317941176 -0.402884115098039 -0.433612657843137 -0.45663628254902 -0.673741136862745 -0.61194087745098 -0.403219791372549 -0.592150985098039 -0.441447754509804 -0.721137001568627 -0.745726853921569
